No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
46,ALLE,1.06,1.75,0.65%,-3.83%,-5.70%,-13.27%,5.47%,45.68,77.89,1.91%,1.02%,0.88%,725644
47,ALLY,1.33,0.63,-2.42%,-3.18%,-2.30%,-16.81%,40.85%,42.3,26.03,1.48%,0.27%,1.21%,3923775
48,ALSN,1.22,1.02,-1.34%,2.95%,4.35%,-8.38%,27.12%,50.24,41.86,1.33%,0.70%,0.63%,1430930
49,AMAT,1.62,1.53,-0.34%,-1.89%,-1.27%,-16.28%,28.07%,49.81,52.24,2.88%,1.83%,1.02%,11286761
50,AMBA,1.21,2.04,-2.84%,-0.60%,-5.23%,-25.79%,22.69%,47.94,49.15,0.59%,-0.45%,1.04%,902243
51,AMC,0.8,0.57,-7.25%,-7.48%,1.16%,-42.13%,37.04%,36.66,14.8,0.00%,-0.34%,0.34%,927492
52,AMCX,0.81,1.41,1.73%,7.28%,6.45%,-14.69%,22.69%,57.98,57.53,0.63%,0.00%,0.63%,674477
53,AME,1.26,1.47,-0.09%,-0.17%,3.62%,-6.44%,24.60%,49.57,74.21,1.62%,0.60%,1.01%,1222900
54,AMTD,1.31,1.24,-0.38%,1.00%,13.01%,-4.57%,61.77%,51.86,60.13,1.57%,-0.07%,1.64%,1790581
55,AN,1.4,1.31,0.13%,0.10%,-6.21%,-24.85%,20.78%,50.53,46.61,2.08%,1.66%,0.42%,792028
56,ANDX,1.17,1.3,-0.01%,-2.70%,-7.10%,-20.68%,7.70%,48.53,43.79,2.07%,1.84%,0.23%,801894
57,ANF,0.84,1.15,-15.79%,-16.29%,14.60%,-25.44%,147.11%,28.31,21.77,-8.72%,-4.01%,-4.91%,16020673
58,AOS,1.51,1.18,0.10%,0.07%,2.87%,-7.09%,19.37%,49.7,63.54,0.75%,0.25%,0.49%,827008
59,APA,1.07,1.29,-5.82%,-3.26%,-5.23%,-23.90%,15.98%,41.59,38.97,-2.57%,-2.62%,0.05%,3797223
60,APC,1.3,1.79,3.16%,8.64%,29.65%,-2.27%,77.80%,62.92,71.05,1.79%,1.56%,0.23%,4390036
61,APH,0.84,1.26,1.28%,2.71%,1.55%,-5.61%,22.14%,59.38,88.37,1.66%,0.91%,0.74%,1049269
62,APO,1.18,0.78,5.44%,7.68%,2.83%,-13.44%,26.24%,66.07,32.33,3.22%,2.44%,0.77%,1120611
63,APTV,1.5,1.72,3.09%,10.52%,13.97%,0.29%,40.52%,70.7,99.08,1.62%,0.78%,0.83%,1356815
64,APY,,2.04,0.15%,1.22%,1.22%,-10.54%,23.71%,,41.25,-4.49%,-4.73%,0.25%,666257
65,AQUA,,0.58,-2.16%,-8.26%,-13.83%,-25.28%,4.99%,39.65,18.95,-1.76%,-2.72%,0.98%,619096
66,AR,0.84,0.54,3.12%,-0.13%,0.13%,-14.46%,18.95%,55.48,19.4,1.52%,1.09%,0.42%,2925983
67,ARMK,0.65,0.64,0.91%,0.63%,-6.20%,-16.32%,6.30%,51.68,38.57,-0.64%,-1.03%,0.39%,977525
68,ARNA,1.51,1.74,7.22%,17.10%,43.48%,0.92%,294.10%,67.25,48.08,5.16%,4.66%,0.48%,977785
69,ARNC,1.16,0.56,-1.58%,-14.01%,-27.87%,-43.05%,6.54%,35.57,17.75,0.57%,0.34%,0.23%,4847955
70,ARRS,1.2,0.51,-3.72%,-5.44%,-6.37%,-16.75%,11.90%,31.71,25.29,0.04%,-0.47%,0.51%,1388767
71,ARRY,1.79,0.62,12.25%,12.53%,27.13%,-9.53%,137.62%,68.41,16.99,3.91%,3.03%,0.86%,2523218
72,ARWR,2.57,0.56,16.60%,38.94%,107.22%,-5.70%,655.02%,75.8,10.91,1.77%,1.39%,0.37%,1196291
73,ASB,0.99,0.55,2.67%,7.09%,11.54%,-0.36%,32.94%,63.13,27.85,0.91%,-0.54%,1.45%,1217100
74,ATH,,1.05,-2.04%,-4.63%,-9.44%,-17.53%,3.59%,41.77,45.54,1.95%,0.71%,1.23%,1246154
75,ATI,2.44,0.89,2.13%,9.01%,15.20%,-4.93%,88.59%,62.28,28.76,0.84%,-0.62%,1.47%,3550953
76,ATKR,,0.61,6.79%,11.46%,8.98%,-11.09%,44.58%,66.68,21.76,0.74%,0.28%,0.46%,697738
77,ATUS,,0.88,14.40%,16.70%,0.47%,-36.89%,37.05%,70.32,20.08,2.66%,2.50%,0.15%,4458240
78,ATVI,1.2,1.83,3.04%,6.63%,9.44%,-8.29%,31.80%,62.82,73.03,2.99%,2.25%,0.72%,6363937
79,AVT,0.96,0.85,-1.95%,-4.45%,-4.38%,-13.87%,8.30%,42.38,38.63,1.34%,0.70%,0.63%,1118310
80,AVYA,,0.69,2.83%,1.81%,7.67%,-3.41%,46.88%,56.5,22.95,3.99%,3.66%,0.32%,972336
81,AWK,0.16,1.25,-0.63%,-0.70%,-2.31%,-11.09%,8.01%,47.21,82.13,-1.21%,-1.52%,0.31%,742380
82,AXP,1.1,1.71,-2.08%,1.08%,3.51%,-4.83%,27.68%,45.62,98.25,-0.05%,-1.10%,1.06%,2710139
83,AXTA,1.31,0.66,-0.76%,0.33%,1.21%,-17.59%,13.36%,49.36,31.48,1.19%,1.19%,0.00%,1000567
84,AYX,,1.54,6.93%,4.14%,26.51%,-10.41%,97.69%,59.03,35.13,3.26%,1.77%,1.47%,881817
85,AZN,0.63,0.52,1.07%,2.76%,7.99%,-1.31%,29.48%,56.75,36.81,-0.59%,0.25%,-0.84%,2730518
86,AZUL,,1.2,-12.16%,-27.58%,-23.10%,-39.77%,7.10%,29.62,21.11,-1.26%,-1.63%,0.37%,674301
87,BAC,1.34,0.6,-2.78%,-2.35%,2.36%,-11.04%,33.21%,43.26,29.4,1.24%,-0.31%,1.55%,64654791
88,BAH,1.25,0.71,8.09%,11.40%,17.31%,-1.16%,44.30%,80.72,44.82,-0.60%,-0.84%,0.24%,1152148
89,BAS,,0.95,-14.54%,-15.92%,-31.60%,-57.67%,-1.57%,36.71,12.52,-5.22%,-5.72%,0.53%,1031369
90,BAX,0.83,1.29,2.43%,6.65%,10.24%,-0.47%,27.94%,63.69,72.7,2.63%,1.81%,0.80%,3532120
91,BBL,1.3,0.94,1.73%,8.26%,15.92%,-3.53%,60.91%,60.36,46.23,0.98%,-0.30%,1.29%,1349804
92,BBT,1.02,1.01,-2.22%,0.01%,5.16%,-5.52%,28.44%,44.89,53.2,1.33%,-0.23%,1.56%,3253730
93,BBY,0.86,2,-8.24%,-5.83%,4.48%,-13.83%,33.40%,34.1,68.85,0.88%,0.51%,0.37%,3602161
94,BC,1.84,1.24,5.34%,7.83%,14.08%,0.51%,35.28%,70.19,64.99,2.19%,1.74%,0.44%,830659
95,BDC,2.32,1.8,-3.72%,-13.00%,-27.31%,-37.06%,2.22%,34.14,54.84,-0.76%,-1.91%,1.18%,559956
96,BECN,1.33,1.6,-2.90%,-13.47%,-22.37%,-37.50%,7.33%,35.32,41.55,-0.84%,-1.33%,0.50%,2479846
97,BEN,1.6,0.73,1.69%,1.23%,-9.44%,-22.19%,7.74%,53.54,34.12,1.64%,0.41%,1.22%,2534849
98,BERY,0.99,1.19,-1.28%,-8.37%,-14.77%,-21.89%,1.90%,37.91,48.2,-0.19%,-0.39%,0.21%,1095198
99,BF-B,0.87,1.09,-3.08%,-0.21%,11.35%,-6.70%,50.21%,42.55,55.59,-1.71%,-1.92%,0.21%,1734015
100,BG,1.15,1.16,-0.43%,-3.35%,-3.14%,-16.00%,9.43%,41.15,69.89,0.49%,0.42%,0.07%,915654
101,BGS,0.39,0.92,5.81%,12.50%,-7.76%,-31.31%,28.64%,64.48,28.3,0.53%,0.35%,0.18%,1005225
102,BHF,,1.44,-2.10%,-5.34%,-16.03%,-36.96%,2.47%,43.07,47.28,0.36%,-0.69%,1.06%,903306
103,BHGE,0.72,1.05,-2.56%,4.26%,7.24%,-14.43%,36.82%,49.99,34.93,0.98%,-0.14%,1.13%,2905435
104,BHP,1.31,1,0.76%,6.03%,11.81%,-3.64%,50.33%,57.28,50.24,0.92%,-0.14%,1.06%,1808623
105,BIG,1.14,1.31,-6.83%,-8.76%,-24.18%,-39.94%,-2.00%,32.88,38.69,-5.43%,5.14%,-10.05%,11042326
106,BILI,,1.14,33.92%,43.59%,43.59%,-4.52%,75.78%,75.72,16.91,4.19%,2.42%,1.73%,4280806
107,BITA,3.06,1.3,14.05%,20.41%,-22.56%,-52.21%,40.82%,65.83,26.01,4.33%,4.63%,-0.28%,1785052
108,BK,1.19,1.04,-1.96%,2.13%,2.35%,-6.17%,18.35%,47.88,55.35,1.10%,-0.18%,1.28%,5065894
109,BLDR,2.07,0.55,-0.70%,-0.85%,-0.91%,-18.13%,40.15%,47.45,19.06,-2.66%,-3.35%,0.72%,893835
110,BLL,0.85,0.7,-3.59%,-6.29%,-7.60%,-14.99%,3.26%,29.8,36.76,-0.51%,-1.08%,0.57%,2459345
111,BLMN,0.3,0.7,-6.96%,-10.68%,0.59%,-16.40%,29.73%,29.66,20.9,-1.51%,-2.11%,0.61%,1439777
112,BLNK,3.88,0.75,18.47%,91.91%,-6.38%,-78.99%,453.13%,64.45,7.08,-3.01%,-2.34%,-0.68%,1210083
113,BMRN,1.71,2.52,3.84%,9.15%,6.40%,-8.11%,21.25%,63.62,91.92,1.75%,1.37%,0.38%,1287326
114,BMY,0.94,0.9,2.06%,-4.15%,-12.88%,-24.15%,6.35%,45.34,53.13,0.97%,0.42%,0.55%,6114302
115,BNS,1.29,0.88,-4.13%,-3.29%,-6.14%,-11.08%,5.60%,35.85,59.38,-1.57%,0.15%,-1.72%,1268322
116,BOFI,0.29,1.05,0.87%,1.38%,26.19%,-4.57%,92.18%,53,41.51,0.73%,0.02%,0.70%,1054235
117,BOOT,1.61,0.94,9.97%,24.25%,64.35%,-6.06%,317.97%,69.68,24.66,4.14%,3.22%,0.89%,1169655
118,BOX,1.15,1.15,-2.46%,11.39%,22.55%,-8.33%,52.41%,52.93,26.29,2.38%,1.47%,0.90%,6303016
119,BP,0.89,0.81,-0.34%,4.80%,13.47%,-3.99%,35.46%,55.1,45.92,0.22%,-0.54%,0.76%,4845994
120,BPL,1.12,1.12,-7.06%,-8.29%,-26.23%,-45.72%,1.50%,33.87,35.77,-0.78%,-0.91%,0.14%,939344
121,BRKS,1.06,0.92,11.98%,19.61%,21.07%,-3.54%,55.21%,79.24,33.54,2.63%,1.33%,1.29%,784510
122,BRS,2.93,0.86,-27.52%,-22.22%,-8.78%,-36.75%,88.05%,25.46,11.96,1.10%,1.27%,-0.17%,1058872
123,BRZU,,2.77,-25.26%,-39.01%,-44.79%,-62.15%,8.48%,28.32,24.7,1.48%,-2.06%,3.62%,3731301
124,BSX,0.78,0.5,1.59%,5.77%,9.72%,-1.39%,24.65%,62.97,30.59,0.66%,-0.16%,0.82%,7102776
125,BTI,1.06,0.83,-1.28%,-6.47%,-17.63%,-30.84%,1.56%,37.19,50.77,-0.84%,-0.86%,0.02%,1825665
126,BTU,,1.33,12.61%,18.01%,28.01%,3.63%,100.84%,77.86,45.35,4.81%,4.28%,0.51%,1975847
127,BUD,0.99,1.8,-1.90%,-7.90%,-16.58%,-26.15%,1.88%,35.98,93.42,-0.18%,-1.08%,0.91%,2048706
128,BWA,1.8,1.25,-1.24%,-2.10%,-2.87%,-14.20%,24.88%,46.24,49.95,2.40%,1.34%,1.05%,993138
129,BX,1.29,0.58,2.32%,2.46%,-1.23%,-13.81%,9.37%,61.34,32.34,1.28%,0.81%,0.47%,2831966
130,BXS,1.41,0.64,-0.07%,3.41%,5.75%,-4.36%,25.00%,53.5,34,1.49%,-0.29%,1.79%,534140
131,BYD,1.81,0.89,7.74%,13.12%,20.07%,-4.53%,59.74%,73.65,38.61,2.28%,2.01%,0.26%,1634963
132,BZUN,,2.61,18.23%,27.02%,62.13%,-0.47%,224.93%,73.1,61.77,0.75%,-0.19%,0.95%,2519229
133,C,1.51,1.39,-3.89%,-3.40%,-7.28%,-16.63%,11.83%,40.37,67.28,0.88%,-0.31%,1.20%,14910795
134,CA,0.68,0.62,2.54%,4.07%,6.08%,-3.33%,18.26%,65.84,36.01,0.76%,0.31%,0.45%,2173301
135,CADE,,0.77,-0.48%,2.83%,13.72%,-3.77%,46.75%,52.91,29.35,0.48%,-0.14%,0.62%,1970621
136,CAG,0.29,0.58,-1.04%,0.11%,2.64%,-8.21%,14.86%,45.53,36.94,-0.32%,-0.59%,0.27%,1619476
137,CAH,1.01,1.72,-0.93%,-10.81%,-17.74%,-34.48%,3.68%,38.51,52.66,1.09%,-0.68%,1.79%,2490943
138,CAR,2.09,1.53,-10.01%,-16.45%,-8.51%,-24.47%,85.56%,29.21,38.43,-1.44%,-2.34%,0.92%,1300582
139,CARA,3.05,0.98,13.78%,19.76%,17.08%,-46.28%,37.80%,59.8,15.31,-2.11%,-1.10%,-1.02%,804678
140,CARG,,1.57,3.96%,0.34%,4.78%,-17.39%,29.75%,55.34,33.54,1.15%,1.15%,0.00%,740137
141,CARS,,1.06,3.11%,-3.42%,-3.17%,-18.49%,25.64%,52.44,26.31,2.45%,2.14%,0.31%,1289699
142,CASY,0.59,2.38,-2.46%,-5.29%,-12.58%,-24.75%,1.60%,39.69,96.7,-0.10%,-0.72%,0.62%,514373
143,CATM,0.87,1.05,-9.97%,-1.33%,8.66%,-26.62%,62.09%,40.06,25.61,-0.19%,-1.16%,0.97%,512535
144,CAVM,1.39,2.45,8.26%,7.31%,8.13%,-8.63%,48.63%,65.81,84.66,1.26%,0.81%,0.44%,2006911
145,CBAY,1.99,0.76,5.41%,3.99%,24.16%,-18.67%,198.35%,55.73,12.68,-2.24%,-1.71%,-0.54%,683197
146,CBOE,0.59,2.27,-5.75%,-8.65%,-13.55%,-28.96%,14.31%,28.77,98.42,0.88%,-0.44%,1.32%,1000775
147,CBRE,1.72,0.88,-2.09%,-1.79%,7.01%,-4.89%,34.16%,40.84,46.07,-0.26%,-1.16%,0.91%,1531722
148,CBS,1.48,1.31,-3.38%,-2.49%,-10.83%,-27.30%,5.13%,41.34,49.98,-0.77%,-1.03%,0.26%,2107919
149,CC,,1.23,-3.16%,-1.56%,-2.72%,-15.10%,41.53%,42.83,49.31,0.65%,-0.44%,1.10%,1192168
150,CCE,0.76,0.62,-0.84%,-4.53%,-5.54%,-15.33%,4.76%,38.09,37.89,-0.21%,-0.68%,0.47%,1185122
151,CCK,1.4,1.07,-2.38%,-9.02%,-20.41%,-29.79%,2.56%,36.17,43.72,0.88%,-0.05%,0.92%,1684734
152,CCL,0.85,1.1,-1.35%,-2.02%,-4.96%,-13.11%,2.07%,44.04,63.17,1.43%,0.78%,0.64%,3127291
153,CDEV,,0.88,-11.78%,-8.22%,-10.22%,-23.58%,20.00%,37.76,16.92,-3.86%,-4.62%,0.80%,5016583
154,CDK,0.78,0.98,0.57%,0.37%,-3.12%,-15.03%,8.90%,53.92,64.61,0.40%,-0.23%,0.64%,1847972
155,CDNS,1.12,0.7,3.58%,9.98%,5.94%,-6.07%,31.54%,72.32,43.21,1.79%,1.17%,0.61%,1489844
156,CDW,1.09,1.51,3.01%,9.45%,15.43%,-1.18%,38.30%,68.67,81,1.19%,0.68%,0.50%,836900
157,CELG,1.45,2.17,-2.32%,-7.61%,-25.36%,-46.29%,6.62%,41.1,79.04,0.46%,0.19%,0.27%,8178776
158,CENX,0.83,0.81,8.24%,3.86%,-0.88%,-28.50%,36.86%,60.2,17.71,-0.06%,-0.78%,0.73%,1883785
